Eval,m,p,t,Cl,Cd,Error
1,0.01,0.4,0.12,0.7067,0.01416,184.568089
2,0.0101,0.4,0.12,0.7075,0.01416,184.36122500000002
3,0.01,0.4001,0.12,0.7064,0.01415,184.56259599999998
4,0.01,0.4,0.1201,0.7068,0.01417,184.62552400000007
5,0.2,0.8,0.05,-0.0909,0.03083,871.075181
6,0.04787752061793896,0.47974214866934517,0.10604512398286459,1.1239,0.01624,115.69272100000003
7,0.04797752061793896,0.47974214866934517,0.10604512398286459,1.1247,0.01625,115.677509
8,0.04787752061793896,0.47984214866934516,0.10604512398286459,1.1244,0.01623,115.48043600000001
9,0.04787752061793896,0.47974214866934517,0.10614512398286459,1.1245,0.01625,115.71252499999999
10,0.19716732150118285,0.7924044165575445,0.05113322422046407,-0.0063,0.11509,11446.432069
11,0.06280650070626334,0.5110083754581651,0.10055393400662453,1.251,0.02148,187.8905
12,0.05154492397924477,0.48742290546199074,0.10469617660285024,1.1647,0.01693,117.79750900000002
13,0.04951056876854742,0.4831622921441107,0.10544445484255595,1.1386,0.01665,118.423496
14,0.04847878944444915,0.4810014046519704,0.10582396477884498,1.1298,0.01636,116.17440400000002
15,0.04813414179885554,0.48027959838083806,0.10595073336488513,1.1268,0.01629,115.81192399999998
16,0.04799422525231723,0.47998656681071783,0.10600219758637351,1.1259,0.01624,115.34268100000003
17,0.048094225252317234,0.47998656681071783,0.10600219758637351,1.1265,0.01628,115.73862499999998
18,0.04799422525231723,0.4800865668107178,0.10600219758637351,1.1256,0.01627,115.77043599999999
19,0.04799422525231723,0.47998656681071783,0.10610219758637351,1.1259,0.01624,115.34268100000003
20,0.0,0.5088706171565984,0.05,0.4338,0.01922,1000330.306644
21,0.04319480272708551,0.48287497184530587,0.10040197782773616,1.0702,0.01514,112.872404
22,0.04329480272708551,0.48287497184530587,0.10040197782773616,1.0713,0.01516,112.873969
23,0.04319480272708551,0.48297497184530586,0.10040197782773616,1.0702,0.01512,112.667204
24,0.04319480272708551,0.48287497184530587,0.10050197782773616,1.0702,0.01513,112.76970399999999
25,0.0,0.48778514039682297,0.24153947959140326,0.5432,0.02272,374.0250239999999
26,0.03512788988634931,0.48379197804136786,0.1267603323844251,0.9828,0.01538,132.41398399999997
27,0.040782507028728626,0.4831491895226008,0.1082840693500072,1.0441,0.0152,118.414481
28,0.042458161191193985,0.48295870956083914,0.10280892818998164,1.063,0.01513,114.11380000000001
29,0.042943820434493005,0.4829035022536483,0.10122205365924844,1.0678,0.01513,113.21658399999997
30,0.04310389607521448,0.4828853056575925,0.10069901212188123,1.0693,0.01514,113.039849
31,0.04316472108118643,0.48287839137595184,0.10050026854983901,1.0699,0.01511,112.62070099999997
32,0.04326472108118643,0.48287839137595184,0.10050026854983901,1.071,0.01515,112.82660000000003
33,0.04316472108118643,0.48297839137595183,0.10050026854983901,1.0699,0.01513,112.82550099999996
34,0.04316472108118643,0.48287839137595184,0.10060026854983901,1.0699,0.01513,112.82550099999996
35,0.0,0.5114007235900951,0.09109518342767335,0.562,0.01608,243.75079999999997
36,0.03723090397775797,0.4867993318681567,0.0992073595825335,1.0041,0.01416,116.487281
37,0.04126973784877004,0.48413055610542044,0.10008737398780926,1.0502,0.01475,112.77450399999998
38,0.0422795931533448,0.4834632651380788,0.10030740958314491,1.0606,0.01494,112.650836
39,0.042734861628079206,0.4831624333857184,0.10040660722999782,1.0654,0.01504,112.749316
40,0.042994106129015906,0.48299113011779043,0.10046309355813085,1.0682,0.01508,112.63152399999998
41,0.04308386610226515,0.4829318186311778,0.10048265120075722,1.069,0.0151,112.68610000000001
42,0.04314097025984163,0.48289408541496764,0.100495093525169,1.0697,0.01513,112.86270899999997
43,0.04316234599905195,0.4828799607798534,0.10049975104737201,1.0699,0.01512,112.72300099999995
44,0.04316448357297298,0.482878548316342,0.10050021679959231,1.0699,0.01512,112.72300099999995
45,0.043164697330365084,0.48287840706999086,0.10050026337481434,1.0699,0.01512,112.72300099999995
