1.000174 0.001041
0.999927 0.001112
0.999186 0.001325
0.997953 0.001680
0.996227 0.002175
0.994011 0.002809
0.991306 0.003579
0.988115 0.004482
0.984441 0.005516
0.980286 0.006678
0.975654 0.007962
0.970550 0.009366
0.964978 0.010884
0.958943 0.012511
0.952449 0.014241
0.945504 0.016070
0.938112 0.017991
0.930282 0.019998
0.922019 0.022084
0.913331 0.024242
0.904226 0.026466
0.894713 0.028749
0.884800 0.031083
0.874497 0.033461
0.863812 0.035876
0.852756 0.038320
0.841340 0.040786
0.829573 0.043265
0.817468 0.045752
0.805035 0.048237
0.792287 0.050713
0.779236 0.053174
0.765894 0.055611
0.752274 0.058017
0.738390 0.060385
0.724255 0.062709
0.709883 0.064980
0.695288 0.067193
0.680485 0.069341
0.665489 0.071417
0.650314 0.073415
0.634975 0.075330
0.619489 0.077154
0.603871 0.078883
0.588136 0.080511
0.572301 0.082034
0.556382 0.083446
0.540396 0.084743
0.524359 0.085920
0.508288 0.086974
0.492200 0.087902
0.476097 0.088698
0.459989 0.089351
0.443915 0.089857
0.427891 0.090212
0.411933 0.090417
0.396061 0.090469
0.380290 0.090367
0.364637 0.090113
0.349121 0.089706
0.333758 0.089146
0.318565 0.088436
0.303559 0.087576
0.288755 0.086570
0.274171 0.085419
0.259823 0.084128
0.245726 0.082699
0.231895 0.081138
0.218347 0.079448
0.205096 0.077635
0.192155 0.075704
0.179541 0.073662
0.167265 0.071513
0.155341 0.069266
0.143783 0.066927
0.132601 0.064502
0.121809 0.062000
0.111417 0.059427
0.101436 0.056792
0.091877 0.054103
0.082748 0.051367
0.074060 0.048593
0.065820 0.045787
0.058037 0.042959
0.050718 0.040115
0.043870 0.037264
0.037499 0.034412
0.031612 0.031567
0.026213 0.028736
0.021306 0.025924
0.016898 0.023138
0.012989 0.020384
0.009585 0.017667
0.006686 0.014991
0.004296 0.012361
0.002416 0.009780
0.001046 0.007251
0.000187 0.004777
-0.000162 0.002359
0.000000 0.000000
0.000665 -0.002269
0.001827 -0.004417
0.003482 -0.006443
0.005629 -0.008347
0.008265 -0.010130
0.011385 -0.011790
0.014985 -0.013330
0.019062 -0.014749
0.023610 -0.016048
0.028622 -0.017228
0.034095 -0.018290
0.040020 -0.019236
0.046393 -0.020065
0.053204 -0.020781
0.060447 -0.021385
0.068114 -0.021879
0.076197 -0.022264
0.084687 -0.022544
0.093575 -0.022722
0.102853 -0.022799
0.112511 -0.022780
0.122538 -0.022667
0.132927 -0.022464
0.143665 -0.022175
0.154742 -0.021805
0.166149 -0.021356
0.177875 -0.020835
0.189907 -0.020245
0.202235 -0.019592
0.214848 -0.018881
0.227733 -0.018116
0.240879 -0.017303
0.254274 -0.016449
0.267906 -0.015558
0.281762 -0.014636
0.295830 -0.013689
0.310096 -0.012722
0.324549 -0.011742
0.339174 -0.010753
0.353958 -0.009763
0.368889 -0.008776
0.383952 -0.007797
0.399133 -0.006832
0.414419 -0.005886
0.429795 -0.004964
0.445247 -0.004070
0.460761 -0.003209
0.476321 -0.002385
0.491934 -0.001600
0.507578 -0.000848
0.523223 -0.000131
0.538854 0.000547
0.554456 0.001185
0.570014 0.001780
0.585512 0.002330
0.600936 0.002834
0.616270 0.003292
0.631498 0.003701
0.646607 0.004063
0.661579 0.004376
0.676401 0.004641
0.691057 0.004859
0.705532 0.005030
0.719812 0.005156
0.733881 0.005238
0.747726 0.005277
0.761332 0.005276
0.774684 0.005236
0.787770 0.005160
0.800575 0.005050
0.813085 0.004909
0.825288 0.004739
0.837170 0.004543
0.848719 0.004324
0.859922 0.004084
0.870768 0.003828
0.881244 0.003556
0.891340 0.003274
0.901044 0.002982
0.910346 0.002685
0.919235 0.002384
0.927702 0.002083
0.935737 0.001785
0.943332 0.001491
0.950477 0.001204
0.957166 0.000926
0.963390 0.000661
0.969142 0.000408
0.974417 0.000172
0.979207 -0.000048
0.983508 -0.000249
0.987315 -0.000429
0.990623 -0.000588
0.993428 -0.000724
0.995728 -0.000837
0.997519 -0.000926
0.998800 -0.000990
0.999570 -0.001028
0.999826 -0.001041
