Eval,m,p,t,Cl,Cd,Error
1,0.01,0.4,0.12,0.5693,0.00615,5.322249000000002
2,0.0101,0.4,0.12,0.5701,0.00605,5.285400999999999
3,0.01,0.4001,0.12,0.5691,0.00605,5.331481000000001
4,0.01,0.4,0.1201,0.5685,0.00613,5.359225000000002
5,0.2,0.1,0.05,Separated,Separated,1002740.0
6,0.029000000000000005,0.37,0.11299999999999999,0.781,0.00585,0.03610000000000006
7,0.029100000000000004,0.37,0.11299999999999999,0.7852,0.00558,0.021904000000000104
8,0.029000000000000005,0.3701,0.11299999999999999,0.7823,0.00571,0.031329000000000176
9,0.029000000000000005,0.37,0.11309999999999999,0.7838,0.00553,0.026243999999999976
10,0.19999999887451164,0.8,0.0724381787902832,1.6579,0.10295,7808.801741
11,0.04609999988745117,0.41300000000000003,0.1089438178790283,1.0051,0.00565,4.206601000000003
12,0.03322772371983178,0.3806311181958647,0.11199716856855806,0.8458,0.00549,0.20976399999999956
13,0.030803338514318157,0.3745347109138045,0.11257224155041048,0.8097,0.00551,0.009408999999999865
14,0.029961313191914748,0.3724173372821288,0.11277197301711327,0.7951,0.00566,0.002401000000000015
15,0.030061313191914747,0.3724173372821288,0.11277197301711327,0.7967,0.00557,0.0010890000000000533
16,0.029961313191914748,0.37251733728212877,0.11277197301711327,0.7981,0.00553,0.00036100000000000487
17,0.029961313191914748,0.3724173372821288,0.11287197301711327,0.7989,0.00548,0.00012099999999999778
18,0.01791113258712971,0.6051237130465551,0.05,0.6863,0.00664,1.2927690000000005
19,0.025683996405516264,0.4550184965513836,0.09049051328572687,0.758,0.00636,0.1764000000000003
20,0.028110025770282106,0.4081683687824642,0.10312822012336,0.7826,0.00597,0.030276000000000285
21,0.0290859634975847,0.3893216030002008,0.10821208887967512,0.6863,0.00515,1000001.292769
22,0.02987377822248174,0.37410776385393596,0.11231598460336945,0.7955,0.00568,0.0020250000000000537
23,0.029916816368976563,0.37327663514152054,0.1125401795311539,0.796,0.00555,0.001600000000000003
24,0.029937423804415927,0.3728786758268702,0.11264752807834813,0.7977,0.0055,0.0005290000000000367
25,0.030037423804415927,0.3728786758268702,0.11264752807834813,0.7995,0.00557,2.5000000000005595e-05
26,0.029937423804415927,0.37297867582687017,0.11264752807834813,0.797,0.0056,0.0009000000000000016
27,0.029937423804415927,0.3728786758268702,0.11274752807834813,0.796,0.00561,0.001600000000000003
28,0.04805737309212015,0.4538312326227963,0.05,1.0007,0.0077,4.028048999999995
29,0.031749418733186346,0.3809739315064628,0.10638277527051332,0.8228,0.00559,0.05198399999999969
30,0.030366019217282277,0.3747934656505967,0.11116571139467694,0.8022,0.00555,0.0004839999999999911
31,0.030152607729688884,0.3738400300037304,0.11190355574230552,0.8009,0.0055,8.099999999998216e-05
32,0.0300545835848269,0.3734020980300633,0.11224246234022654,0.7982,0.0055,0.0003240000000000086
33,0.030000320572892876,0.3731596729831848,0.11243007012597567,0.7946,0.00575,0.002916000000000077
34,0.029950060569878284,0.3729351317505356,0.11260383799364908,0.7971,0.00555,0.000841000000000008
35,0.02994063360307321,0.3728930159005636,0.11263643058859718,0.7964,0.00555,0.0012960000000000343
36,0.029937744784281656,0.3728801098342395,0.11264641832937304,0.797,0.00546,0.0009000000000000016
37,0.0299374559024025,0.37287881922760713,0.11264741710345062,0.7955,0.00576,0.0020250000000000537
38,0.029937427014214583,0.37287869016694386,0.11264751698085838,0.7977,0.0055,0.0005290000000000367
